YM,city,state,order_status,order_cnt,customer_cnt,rev
2016-09,"boa vista",RR,shipped,2,1,72.89
2016-09,"passo fundo",RS,canceled,1,1,59.5
2016-09,"sao joaquim da barra",SP,delivered,3,1,134.97
2016-09,"sao jose dos campos",SP,canceled,1,1,0
2016-10,"alem paraiba",MG,delivered,1,1,69.9
2016-10,ananindeua,PA,delivered,1,1,189
2016-10,anapolis,GO,canceled,1,1,0
2016-10,"aparecida de goiania",GO,delivered,1,1,49
2016-10,apuarema,BA,delivered,1,1,169.99
2016-10,aracaju,SE,delivered,1,1,58
2016-10,aracariguama,SP,unavailable,1,1,64.9
2016-10,aracatuba,SP,invoiced,1,1,0
2016-10,atibaia,SP,unavailable,1,1,0
2016-10,bacaxa,RJ,delivered,1,1,57.9
2016-10,bage,RS,delivered,1,1,129.99
2016-10,"balneario barra do sul",SC,delivered,1,1,59.9
2016-10,"barra mansa",RJ,canceled,1,1,87.99
2016-10,barreirinhas,MA,delivered,1,1,39.99
2016-10,barueri,SP,delivered,1,1,139.9
2016-10,bayeux,PB,delivered,1,1,49.9
2016-10,bebedouro,SP,delivered,1,1,107.99
2016-10,"bela cruz",CE,delivered,1,1,629.9
2016-10,"belo horizonte",MG,delivered,12,10,1193.2499999999998
2016-10,"belo horizonte",MG,invoiced,1,1,153
2016-10,"belo horizonte",MG,unavailable,2,1,158.99
2016-10,"belo jardim",PE,invoiced,1,1,119.5
2016-10,"benedito novo",SC,delivered,2,1,119.8
2016-10,"boa vista",RR,delivered,1,1,39.7
2016-10,brasilia,DF,delivered,8,6,1043.77
2016-10,cacequi,RS,canceled,2,1,390
2016-10,"cachoeira do sul",RS,delivered,1,1,49.9
2016-10,"cachoeiro de itapemirim",ES,delivered,1,1,99.9
2016-10,cacimbinhas,AL,invoiced,1,1,32.5
2016-10,caetanopolis,MG,delivered,1,1,19.9
2016-10,cambe,PR,delivered,1,1,72
2016-10,campinas,SP,canceled,1,1,129.9
2016-10,campinas,SP,delivered,10,6,451.58000000000004
2016-10,"campo mourao",PR,delivered,1,1,30.97
2016-10,"campos do jordao",SP,delivered,1,1,11.9
2016-10,"campos dos goytacazes",RJ,unavailable,1,1,299.9
2016-10,canoas,RS,delivered,1,1,89.9
2016-10,cantagalo,RJ,delivered,1,1,49
2016-10,"capim branco",MG,delivered,1,1,54.9
2016-10,capinopolis,MG,delivered,1,1,19.9
2016-10,capivari,SP,delivered,1,1,74.9
2016-10,caraguatatuba,SP,canceled,1,1,128.7
2016-10,caratinga,MG,delivered,1,1,193.8
2016-10,cariacica,ES,delivered,1,1,69.9
2016-10,"carmo da mata",MG,delivered,1,1,89.9
2016-10,"casa branca",SP,delivered,1,1,131
2016-10,"caxias do sul",RS,delivered,2,2,647
2016-10,charqueada,SP,delivered,1,1,128.9
2016-10,cianorte,PR,delivered,1,1,59.9
2016-10,"cidade gaucha",PR,delivered,4,1,319.6
2016-10,condor,RS,delivered,1,1,35
2016-10,contagem,MG,delivered,1,1,58
2016-10,coromandel,MG,delivered,1,1,49
2016-10,"coronel fabriciano",MG,delivered,1,1,30.97
2016-10,cotia,SP,delivered,1,1,29.99
2016-10,cuiaba,MT,delivered,2,1,47.8
2016-10,cuiaba,MT,shipped,1,1,279.99
2016-10,curitiba,PR,delivered,11,5,406.7799999999999
2016-10,diadema,SP,delivered,1,1,30.97
2016-10,"duque de caxias",RJ,canceled,1,1,0
2016-10,"duque de caxias",RJ,delivered,1,1,136.9
2016-10,eunapolis,BA,delivered,1,1,19.99
2016-10,"faxinal dos guedes",SC,delivered,1,1,109.99
2016-10,"ferraz de vasconcelos",SP,delivered,1,1,149.9
2016-10,florianopolis,SC,canceled,1,1,135
2016-10,florianopolis,SC,invoiced,1,1,0
2016-10,fortaleza,CE,delivered,4,4,959.88
2016-10,fortaleza,CE,shipped,1,1,39.7
