YM,state,product,pu_cnt,rev
2016-09,RR,moveis_decoracao,1,72.89
2016-09,SP,beleza_saude,1,134.97
2016-10,AL,automotivo,1,49.99
2016-10,AL,informatica_acessorios,1,32.5
2016-10,BA,fashion_bolsas_e_acessorios,1,54.9
2016-10,BA,relogios_presentes,1,649.17
2016-10,BA,telefonia,1,19.99
2016-10,BA,utilidades_domesticas,1,169.99
2016-10,CE,automotivo,1,499.99
2016-10,CE,beleza_saude,2,129.7
2016-10,CE,consoles_games,1,629.9
2016-10,CE,moveis_decoracao,1,119.99
2016-10,CE,perfumaria,2,309.8
2016-10,DF,beleza_saude,1,119.8
2016-10,DF,brinquedos,1,101.9
2016-10,DF,informatica_acessorios,1,35
2016-10,DF,moveis_decoracao,1,98
2016-10,DF,perfumaria,1,39.9
2016-10,DF,relogios_presentes,1,649.17
2016-10,ES,beleza_saude,1,99.9
2016-10,ES,consoles_games,1,58
2016-10,ES,cool_stuff,1,69.9
2016-10,ES,moveis_escritorio,1,689.99
2016-10,GO,beleza_saude,1,49.9
2016-10,GO,brinquedos,2,170.89000000000001
2016-10,GO,esporte_lazer,1,44.9
2016-10,GO,market_place,1,79.9
2016-10,GO,moveis_decoracao,1,49
2016-10,GO,perfumaria,2,589.8
2016-10,MA,esporte_lazer,1,39.99
2016-10,MA,market_place,1,467.4
2016-10,MA,moveis_escritorio,1,176.97
2016-10,MA,utilidades_domesticas,1,19.9
2016-10,MG,automotivo,1,51.5
2016-10,MG,bebes,1,199.99
2016-10,MG,beleza_saude,7,683.55
2016-10,MG,brinquedos,4,908.6899999999999
2016-10,MG,cama_mesa_banho,1,169.9
2016-10,MG,climatizacao,1,299.99
2016-10,MG,cool_stuff,1,49
2016-10,MG,esporte_lazer,1,149.99
2016-10,MG,fashion_bolsas_e_acessorios,1,79.9
2016-10,MG,fashion_roupa_feminina,1,54.9
2016-10,MG,ferramentas_jardim,1,380
2016-10,MG,informatica_acessorios,4,449.89
2016-10,MG,market_place,1,58
2016-10,MG,moveis_decoracao,7,457.5599999999999
2016-10,MG,moveis_escritorio,1,129.97
2016-10,MG,perfumaria,3,384.70000000000005
2016-10,MG,telefonia,2,99.69999999999999
2016-10,MG,utilidades_domesticas,1,44.99
2016-10,MT,automotivo,1,279.99
2016-10,MT,moveis_decoracao,1,47.8
2016-10,PA,brinquedos,1,629.9
2016-10,PA,cool_stuff,1,89
2016-10,PA,moveis_decoracao,2,368.7
2016-10,PB,brinquedos,1,49.9
2016-10,PE,beleza_saude,1,75.9
2016-10,PE,esporte_lazer,2,798.9
2016-10,PE,informatica_acessorios,1,75
2016-10,PE,livros_interesse_geral,1,119.5
2016-10,PE,moveis_decoracao,1,49.9
2016-10,PE,perfumaria,1,249.9
2016-10,PI,beleza_saude,1,210
2016-10,PR,bebes,1,79.8
2016-10,PR,beleza_saude,6,327.65999999999997
2016-10,PR,cama_mesa_banho,2,219.28999999999996
2016-10,PR,esporte_lazer,1,18.9
2016-10,PR,fashion_bolsas_e_acessorios,1,49.8
2016-10,PR,ferramentas_jardim,1,139.99
2016-10,PR,informatica_acessorios,1,43.89
2016-10,PR,market_place,1,94.99
2016-10,PR,moveis_decoracao,7,1030.29
2016-10,RJ,,1,15.9
2016-10,RJ,audio,1,132
2016-10,RJ,automotivo,1,10
2016-10,RJ,bebes,3,619.88
2016-10,RJ,beleza_saude,6,1357.5900000000001
2016-10,RJ,brinquedos,5,899.75
2016-10,RJ,cama_mesa_banho,1,59.9
2016-10,RJ,consoles_games,2,998.99
2016-10,RJ,cool_stuff,2,226.8
2016-10,RJ,esporte_lazer,2,461.9
2016-10,RJ,ferramentas_jardim,1,590
2016-10,RJ,fraldas_higiene,1,134.9
2016-10,RJ,informatica_acessorios,1,19
2016-10,RJ,market_place,1,311
2016-10,RJ,moveis_decoracao,5,367.48
2016-10,RJ,perfumaria,6,1434.2000000000003
2016-10,RJ,pet_shop,1,109.9
2016-10,RJ,relogios_presentes,1,1399
2016-10,RJ,telefonia_fixa,1,6
2016-10,RJ,utilidades_domesticas,1,32.99
2016-10,RN,automotivo,1,161.99
2016-10,RN,informatica_acessorios,1,18.9
2016-10,RN,moveis_decoracao,1,148
2016-10,RN,utilidades_domesticas,1,399.8
2016-10,RR,beleza_saude,1,39.7
2016-10,RS,NULL,1,NULL
2016-10,RS,beleza_saude,1,156.97
2016-10,RS,brinquedos,2,258.89
2016-10,RS,climatizacao,1,357.8
2016-10,RS,consoles_games,1,949.99
2016-10,RS,cool_stuff,1,399
2016-10,RS,esporte_lazer,5,238.09000000000003
2016-10,RS,fashion_bolsas_e_acessorios,1,24.9
2016-10,RS,industria_comercio_e_negocios,2,179.8
2016-10,RS,informatica_acessorios,2,199
2016-10,RS,moveis_decoracao,3,337.98
2016-10,RS,pet_shop,1,99.9
2016-10,SC,NULL,1,NULL
2016-10,SC,beleza_saude,4,339.67999999999995
2016-10,SC,climatizacao,1,599.6
2016-10,SC,moveis_decoracao,2,799.88
2016-10,SC,perfumaria,1,299.9
2016-10,SC,telefonia_fixa,1,199
2016-10,SE,consoles_games,1,58
2016-10,SE,informatica_acessorios,1,161.55
2016-10,SE,moveis_decoracao,1,65.9
2016-10,SP,NULL,1,NULL
