YM,seller,product,order_cnt,rev
2016-09,1554a68530182680ad5c8b042c3ab563,moveis_decoracao,1,72.89
2016-09,ecccfa2bb93b34a3bf033cc5d1dcdc69,beleza_saude,1,134.97
2016-10,011b0eaba87386a2ae96a7d32bb531d1,beleza_saude,1,99.98
2016-10,01cf7e3d21494c41fb86034f2e714fa1,cool_stuff,1,69.9
2016-10,024b564ae893ce8e9bfa02c10a401ece,market_place,1,467.4
2016-10,0307f7565ff85b299b6e5ef162b1b1a9,perfumaria,1,16.9
2016-10,0336182e1b3e92f029d5354832045fdf,moveis_decoracao,1,29.8
2016-10,05ff92fedb5be47920fea08e501238b9,cool_stuff,1,89
2016-10,066a6914e1ebf3ea95a216c73a986b91,moveis_decoracao,1,79.9
2016-10,0747d5bb69f0586cc869d8af4c50f93e,perfumaria,2,72.8
2016-10,0c8380b62e38e8a1e6adbeba7eb9688c,cama_mesa_banho,1,59.489999999999995
2016-10,0c8380b62e38e8a1e6adbeba7eb9688c,moveis_decoracao,1,139.9
2016-10,0db783cfcd3b73998abc6e10e59a102f,informatica_acessorios,2,70
2016-10,0ea22c1cfbdc755f86b9b54b39c16043,fashion_bolsas_e_acessorios,3,154.6
2016-10,11305281b50fff20ae8bb473f8e11876,utilidades_domesticas,1,44.99
2016-10,13e85aac53340018b40c2af68001b7e0,moveis_decoracao,1,17.8
2016-10,1554a68530182680ad5c8b042c3ab563,brinquedos,2,139.98
2016-10,1554a68530182680ad5c8b042c3ab563,moveis_decoracao,2,79.98
2016-10,1554a68530182680ad5c8b042c3ab563,utilidades_domesticas,1,32.99
2016-10,184a67a8f9f63234d3a92340bbdb727f,moveis_decoracao,2,89.48
2016-10,2138ccb85b11a4ec1e37afbd1c8eda1f,telefonia,2,49.89
2016-10,2199e7fe213c16213bf5d6a7eadc9a5d,market_place,1,311
2016-10,229c3efbfb0ea2058de4ccdfbc3d784a,informatica_acessorios,1,75
2016-10,23613d49c3ac2bd302259e55c06c050c,,1,15.9
2016-10,25e6ffe976bd75618accfe16cefcbd0d,fashion_bolsas_e_acessorios,1,88
2016-10,2f4b9d112bfa44a214bc6cef085d17c8,informatica_acessorios,1,18.9
2016-10,3481aa57cd91f9f9d3fa1fa12d9a3bf7,,1,49.99
2016-10,3481aa57cd91f9f9d3fa1fa12d9a3bf7,moveis_decoracao,1,59.9
2016-10,3606774ec64634822d78dc2db6d37045,ferramentas_jardim,1,179.9
2016-10,38874e327ce94d11390b96eb42d61928,moveis_escritorio,1,689.99
2016-10,38e679b9e0064cd94c6f035707344dae,esporte_lazer,1,44.9
2016-10,391fc6631aebcf3004804e51b40bcf1e,moveis_decoracao,8,916.2299999999999
2016-10,432c67955c0acd1fd6b0b5d678766a71,beleza_saude,2,988
2016-10,440dd6ab244315c632130ecfb63827b1,esporte_lazer,2,239.8
2016-10,440dd6ab244315c632130ecfb63827b1,utilidades_domesticas,1,19.9
2016-10,45d33f715e24d15a6ccf5c17b3a23e3c,esporte_lazer,1,36.49
2016-10,46dc3b2cc0980fb8ec44634e21d2718e,bebes,3,779.97
2016-10,46dc3b2cc0980fb8ec44634e21d2718e,brinquedos,5,1369.94
2016-10,46dc3b2cc0980fb8ec44634e21d2718e,market_place,1,94.99
2016-10,4b1eaadf791bdbbad8c4a35b65236d52,consoles_games,2,222.39000000000001
2016-10,4b90495391ac0bd181a80a459df1e718,moveis_decoracao,1,248
2016-10,4bde6149c15cf7e177b36fa060dd6de8,alimentos,1,79.9
2016-10,4bde6149c15cf7e177b36fa060dd6de8,brinquedos,1,79.9
2016-10,4be2e7f96b4fd749d52dff41f80e39dd,livros_tecnicos,1,267
2016-10,4d600e08ecbe08258c79e536c5a42fee,relogios_presentes,3,1931.3400000000001
2016-10,4e922959ae960d389249c378d1c939f5,informatica_acessorios,1,19
2016-10,515d781150feed28a6ac091bb0e3cb8c,cool_stuff,1,212.4
2016-10,522620dcb18a6b31cd7bdf73665113a9,consoles_games,2,678.9
2016-10,522620dcb18a6b31cd7bdf73665113a9,relogios_presentes,1,29.9
2016-10,54aa8463e87776b5612f4bdc4bd5d4de,telefonia_fixa,1,269.9
2016-10,5656537e588803a555b8eb41f07a944b,telefonia,1,31.89
2016-10,56642bcb79900e777d68e91915cb4267,beleza_saude,2,203
2016-10,575df70bde3f9f2b30bf8d2e9910d725,utilidades_domesticas,1,399.8
