ym,region,state,category,gender,total_order,canceled_order,canceled_ratio
2020-10,Midwest,IA,Appliances,F,10,9,90.0000
2020-10,Midwest,IA,Appliances,M,2,0,0.0000
2020-10,Midwest,IA,"Beauty & Grooming",F,2,0,0.0000
2020-10,Midwest,IA,"Beauty & Grooming",M,1,1,100.0000
2020-10,Midwest,IA,Computing,M,1,1,100.0000
2020-10,Midwest,IA,Entertainment,F,2,1,50.0000
2020-10,Midwest,IA,"Health & Sports",F,4,2,50.0000
2020-10,Midwest,IA,"Health & Sports",M,3,0,0.0000
2020-10,Midwest,IA,"Home & Living",F,4,3,75.0000
2020-10,Midwest,IA,"Home & Living",M,2,1,50.0000
2020-10,Midwest,IA,"Men's Fashion",F,10,4,40.0000
2020-10,Midwest,IA,"Men's Fashion",M,5,1,20.0000
2020-10,Midwest,IA,"Mobiles & Tablets",F,3,0,0.0000
2020-10,Midwest,IA,"Mobiles & Tablets",M,10,3,30.0000
2020-10,Midwest,IA,Soghaat,F,5,0,0.0000
2020-10,Midwest,IA,Superstore,F,3,1,33.3333
2020-10,Midwest,IA,"Women's Fashion",F,4,0,0.0000
2020-10,Midwest,IA,"Women's Fashion",M,6,3,50.0000
2020-10,Midwest,IL,Appliances,F,5,2,40.0000
2020-10,Midwest,IL,Appliances,M,5,1,20.0000
2020-10,Midwest,IL,"Beauty & Grooming",F,6,4,66.6667
2020-10,Midwest,IL,"Beauty & Grooming",M,1,1,100.0000
2020-10,Midwest,IL,Books,F,1,0,0.0000
2020-10,Midwest,IL,Books,M,1,0,0.0000
2020-10,Midwest,IL,Computing,F,1,0,0.0000
2020-10,Midwest,IL,Computing,M,1,0,0.0000
2020-10,Midwest,IL,Entertainment,F,2,2,100.0000
2020-10,Midwest,IL,Entertainment,M,3,2,66.6667
2020-10,Midwest,IL,"Health & Sports",F,4,0,0.0000
2020-10,Midwest,IL,"Health & Sports",M,3,0,0.0000
2020-10,Midwest,IL,"Home & Living",F,3,0,0.0000
2020-10,Midwest,IL,"Home & Living",M,3,0,0.0000
2020-10,Midwest,IL,"Kids & Baby",F,3,0,0.0000
