ym,region,state,gender,category,order_cnt
2020-10,Midwest,IA,F,Appliances,9
2020-10,Midwest,IA,F,Entertainment,1
2020-10,Midwest,IA,F,"Health & Sports",2
2020-10,Midwest,IA,F,"Home & Living",3
2020-10,Midwest,IA,F,"Men's Fashion",4
2020-10,Midwest,IA,F,Superstore,1
2020-10,Midwest,IA,M,"Beauty & Grooming",1
2020-10,Midwest,IA,M,Computing,1
2020-10,Midwest,IA,M,"Home & Living",1
2020-10,Midwest,IA,M,"Men's Fashion",1
2020-10,Midwest,IA,M,"Mobiles & Tablets",3
2020-10,Midwest,IA,M,"Women's Fashion",3
2020-10,Midwest,IL,F,Appliances,2
2020-10,Midwest,IL,F,"Beauty & Grooming",4
2020-10,Midwest,IL,F,Entertainment,2
2020-10,Midwest,IL,F,"Men's Fashion",7
2020-10,Midwest,IL,F,"Mobiles & Tablets",5
2020-10,Midwest,IL,F,Soghaat,4
2020-10,Midwest,IL,F,Superstore,4
2020-10,Midwest,IL,F,"Women's Fashion",3
2020-10,Midwest,IL,M,Appliances,1
2020-10,Midwest,IL,M,"Beauty & Grooming",1
2020-10,Midwest,IL,M,Entertainment,2
2020-10,Midwest,IL,M,"Men's Fashion",2
2020-10,Midwest,IL,M,"Mobiles & Tablets",18
2020-10,Midwest,IL,M,Soghaat,2
2020-10,Midwest,IN,F,Computing,1
2020-10,Midwest,IN,F,Entertainment,1
2020-10,Midwest,IN,F,"Health & Sports",1
2020-10,Midwest,IN,F,"Home & Living",1
2020-10,Midwest,IN,F,"Kids & Baby",1
2020-10,Midwest,IN,F,"Men's Fashion",2
2020-10,Midwest,IN,F,"Mobiles & Tablets",6
2020-10,Midwest,IN,F,Soghaat,5
2020-10,Midwest,IN,F,"Women's Fashion",1
2020-10,Midwest,IN,M,"Beauty & Grooming",1
2020-10,Midwest,IN,M,Entertainment,2
2020-10,Midwest,IN,M,"Health & Sports",1
2020-10,Midwest,IN,M,"Home & Living",1
2020-10,Midwest,IN,M,"Men's Fashion",2
2020-10,Midwest,IN,M,"Mobiles & Tablets",10
2020-10,Midwest,IN,M,Superstore,2
2020-10,Midwest,KS,F,"Beauty & Grooming",21
2020-10,Midwest,KS,F,Entertainment,5
2020-10,Midwest,KS,F,"Men's Fashion",5
2020-10,Midwest,KS,F,"Mobiles & Tablets",9
2020-10,Midwest,KS,F,"School & Education",2
2020-10,Midwest,KS,F,Soghaat,1
2020-10,Midwest,KS,F,"Women's Fashion",12
2020-10,Midwest,KS,M,Appliances,1
2020-10,Midwest,KS,M,"Beauty & Grooming",2
2020-10,Midwest,KS,M,"Men's Fashion",2
2020-10,Midwest,KS,M,"Mobiles & Tablets",1
2020-10,Midwest,MI,F,Appliances,1
2020-10,Midwest,MI,F,Entertainment,2
2020-10,Midwest,MI,F,"Men's Fashion",2
2020-10,Midwest,MI,F,"Mobiles & Tablets",4
2020-10,Midwest,MI,F,Superstore,1
2020-10,Midwest,MI,F,"Women's Fashion",1
2020-10,Midwest,MI,M,Appliances,2
2020-10,Midwest,MI,M,Entertainment,2
2020-10,Midwest,MI,M,"Men's Fashion",6
2020-10,Midwest,MI,M,"Mobiles & Tablets",8
2020-10,Midwest,MI,M,"Women's Fashion",3
2020-10,Midwest,MN,F,Appliances,1
2020-10,Midwest,MN,F,"Beauty & Grooming",1
2020-10,Midwest,MN,F,Entertainment,3
2020-10,Midwest,MN,F,"Health & Sports",1
2020-10,Midwest,MN,F,"Home & Living",1
2020-10,Midwest,MN,F,"Mobiles & Tablets",16
2020-10,Midwest,MN,F,Superstore,1
2020-10,Midwest,MN,F,"Women's Fashion",1
2020-10,Midwest,MN,M,Appliances,1
2020-10,Midwest,MN,M,"Beauty & Grooming",2
2020-10,Midwest,MN,M,Entertainment,2
2020-10,Midwest,MN,M,"Men's Fashion",4
2020-10,Midwest,MN,M,"Mobiles & Tablets",2
2020-10,Midwest,MN,M,"Women's Fashion",5
2020-10,Midwest,MO,F,Appliances,3
2020-10,Midwest,MO,F,Entertainment,2
2020-10,Midwest,MO,F,"Mobiles & Tablets",13
2020-10,Midwest,MO,F,Soghaat,1
2020-10,Midwest,MO,M,Appliances,13
2020-10,Midwest,MO,M,"Beauty & Grooming",3
2020-10,Midwest,MO,M,Entertainment,2
2020-10,Midwest,MO,M,"Home & Living",1
2020-10,Midwest,MO,M,"Kids & Baby",1
2020-10,Midwest,MO,M,"Men's Fashion",2
2020-10,Midwest,MO,M,"Mobiles & Tablets",6
2020-10,Midwest,MO,M,"School & Education",1
2020-10,Midwest,MO,M,Superstore,1
2020-10,Midwest,MO,M,"Women's Fashion",1
2020-10,Midwest,ND,F,Appliances,3
2020-10,Midwest,ND,F,Entertainment,5
2020-10,Midwest,ND,F,"Mobiles & Tablets",1
2020-10,Midwest,ND,M,Appliances,2
2020-10,Midwest,ND,M,"Kids & Baby",1
2020-10,Midwest,ND,M,"Mobiles & Tablets",2
2020-10,Midwest,ND,M,"Women's Fashion",3
2020-10,Midwest,NE,F,Computing,2
2020-10,Midwest,NE,F,"Women's Fashion",1
2020-10,Midwest,NE,M,"Beauty & Grooming",7
2020-10,Midwest,NE,M,"Kids & Baby",4
2020-10,Midwest,NE,M,"Men's Fashion",10
2020-10,Midwest,NE,M,"Mobiles & Tablets",7
2020-10,Midwest,NE,M,"School & Education",1
2020-10,Midwest,NE,M,Superstore,1
2020-10,Midwest,NE,M,"Women's Fashion",17
2020-10,Midwest,OH,F,Appliances,3
2020-10,Midwest,OH,F,"Beauty & Grooming",5
2020-10,Midwest,OH,F,Entertainment,1
2020-10,Midwest,OH,F,"Home & Living",2
2020-10,Midwest,OH,F,"Kids & Baby",2
2020-10,Midwest,OH,F,"Men's Fashion",2
2020-10,Midwest,OH,F,"Mobiles & Tablets",12
2020-10,Midwest,OH,F,"School & Education",2
2020-10,Midwest,OH,F,"Women's Fashion",9
2020-10,Midwest,OH,M,Appliances,1
2020-10,Midwest,OH,M,"Beauty & Grooming",3
2020-10,Midwest,OH,M,Entertainment,3
2020-10,Midwest,OH,M,"Kids & Baby",1
2020-10,Midwest,OH,M,"Mobiles & Tablets",13
2020-10,Midwest,OH,M,"Women's Fashion",3
2020-10,Midwest,SD,F,Entertainment,4
2020-10,Midwest,SD,F,"Health & Sports",1
2020-10,Midwest,SD,F,"Mobiles & Tablets",3
2020-10,Midwest,SD,F,Superstore,1
2020-10,Midwest,SD,F,"Women's Fashion",4
2020-10,Midwest,SD,M,Appliances,2
2020-10,Midwest,SD,M,Computing,1
2020-10,Midwest,SD,M,Entertainment,1
2020-10,Midwest,SD,M,"Health & Sports",2
2020-10,Midwest,SD,M,"Home & Living",8
2020-10,Midwest,SD,M,"Kids & Baby",1
2020-10,Midwest,SD,M,"Men's Fashion",1
2020-10,Midwest,SD,M,"Mobiles & Tablets",2
2020-10,Midwest,SD,M,Superstore,2
2020-10,Midwest,WI,F,Appliances,1
2020-10,Midwest,WI,F,"Beauty & Grooming",2
2020-10,Midwest,WI,F,Entertainment,1
2020-10,Midwest,WI,F,"Health & Sports",2
2020-10,Midwest,WI,F,"Home & Living",2
2020-10,Midwest,WI,F,"Men's Fashion",2
2020-10,Midwest,WI,F,"Mobiles & Tablets",2
2020-10,Midwest,WI,M,Appliances,1
2020-10,Midwest,WI,M,Entertainment,1
2020-10,Midwest,WI,M,"Men's Fashion",1
2020-10,Midwest,WI,M,"Mobiles & Tablets",10
2020-10,Midwest,WI,M,Soghaat,2
2020-10,Midwest,WI,M,"Women's Fashion",2
2020-10,Northeast,CT,F,Appliances,6
2020-10,Northeast,CT,F,"Kids & Baby",1
2020-10,Northeast,CT,F,"Women's Fashion",2
2020-10,Northeast,CT,M,Appliances,3
2020-10,Northeast,CT,M,Entertainment,2
2020-10,Northeast,CT,M,"Men's Fashion",1
2020-10,Northeast,CT,M,"Mobiles & Tablets",1
2020-10,Northeast,CT,M,"Women's Fashion",2
2020-10,Northeast,MA,F,Appliances,1
2020-10,Northeast,MA,F,"Beauty & Grooming",1
2020-10,Northeast,MA,F,Computing,1
2020-10,Northeast,MA,F,"Home & Living",4
2020-10,Northeast,MA,F,"Men's Fashion",3
2020-10,Northeast,MA,F,"Mobiles & Tablets",17
2020-10,Northeast,MA,F,"Women's Fashion",1
2020-10,Northeast,MA,M,Appliances,3
2020-10,Northeast,MA,M,"Beauty & Grooming",1
2020-10,Northeast,MA,M,Entertainment,2
2020-10,Northeast,MA,M,"Home & Living",2
2020-10,Northeast,MA,M,"Men's Fashion",3
2020-10,Northeast,MA,M,"Mobiles & Tablets",10
2020-10,Northeast,MA,M,"Women's Fashion",2
2020-10,Northeast,ME,F,"Men's Fashion",1
