ym,region,state,category,gender,age_bin,order_cnt
2020-10,Midwest,IA,Appliances,F,50s,1
2020-10,Midwest,IA,Appliances,F,60s,5
2020-10,Midwest,IA,Appliances,F,70+,3
2020-10,Midwest,IA,"Beauty & Grooming",M,10s,1
2020-10,Midwest,IA,Computing,M,20s,1
2020-10,Midwest,IA,Entertainment,F,30s,1
2020-10,Midwest,IA,"Health & Sports",F,40s,2
2020-10,Midwest,IA,"Home & Living",F,70+,3
2020-10,Midwest,IA,"Home & Living",M,60s,1
2020-10,Midwest,IA,"Men's Fashion",F,20s,1
2020-10,Midwest,IA,"Men's Fashion",F,30s,1
2020-10,Midwest,IA,"Men's Fashion",F,40s,2
2020-10,Midwest,IA,"Men's Fashion",M,60s,1
2020-10,Midwest,IA,"Mobiles & Tablets",M,10s,2
2020-10,Midwest,IA,"Mobiles & Tablets",M,30s,1
2020-10,Midwest,IA,Superstore,F,50s,1
2020-10,Midwest,IA,"Women's Fashion",M,50s,2
2020-10,Midwest,IA,"Women's Fashion",M,60s,1
2020-10,Midwest,IL,Appliances,F,50s,1
2020-10,Midwest,IL,Appliances,F,60s,1
2020-10,Midwest,IL,Appliances,M,50s,1
2020-10,Midwest,IL,"Beauty & Grooming",F,60s,4
2020-10,Midwest,IL,"Beauty & Grooming",M,40s,1
2020-10,Midwest,IL,Entertainment,F,20s,1
2020-10,Midwest,IL,Entertainment,F,30s,1
2020-10,Midwest,IL,Entertainment,M,20s,1
2020-10,Midwest,IL,Entertainment,M,60s,1
2020-10,Midwest,IL,"Men's Fashion",F,60s,1
2020-10,Midwest,IL,"Men's Fashion",F,70+,6
2020-10,Midwest,IL,"Men's Fashion",M,50s,1
2020-10,Midwest,IL,"Men's Fashion",M,60s,1
2020-10,Midwest,IL,"Mobiles & Tablets",F,30s,1
2020-10,Midwest,IL,"Mobiles & Tablets",F,60s,1
2020-10,Midwest,IL,"Mobiles & Tablets",F,70+,3
2020-10,Midwest,IL,"Mobiles & Tablets",M,20s,5
2020-10,Midwest,IL,"Mobiles & Tablets",M,30s,4
2020-10,Midwest,IL,"Mobiles & Tablets",M,50s,5
2020-10,Midwest,IL,"Mobiles & Tablets",M,60s,3
2020-10,Midwest,IL,"Mobiles & Tablets",M,70+,1
2020-10,Midwest,IL,Soghaat,F,60s,4
2020-10,Midwest,IL,Soghaat,M,40s,1
