ym,status,user_cnt
2020-10,complete,1444
2020-10,order_refunded,1187
2020-10,canceled,812
2020-10,received,493
2020-10,cod,63
2020-10,refund,48
2020-10,closed,16
2020-10,paid,5
2020-11,canceled,2530
2020-11,complete,2518
2020-11,order_refunded,1433
2020-11,received,443
2020-11,cod,71
2020-11,refund,71
2020-11,paid,9
2020-11,closed,6
2020-11,pending_paypal,3
2020-12,complete,13945
2020-12,canceled,9560
2020-12,order_refunded,3493
2020-12,received,1628
2020-12,refund,455
2020-12,cod,217
2020-12,paid,28
2020-12,closed,6
2021-01,complete,3441
2021-01,canceled,1663
2021-01,order_refunded,1169
2021-01,received,509
2021-01,refund,135
2021-01,cod,26
2021-01,closed,4
2021-01,paid,3
2021-02,complete,2092
2021-02,canceled,896
2021-02,order_refunded,814
2021-02,received,293
2021-02,refund,74
2021-02,cod,3
2021-02,closed,2
2021-02,pending,1
2021-03,complete,5039
2021-03,canceled,3388
2021-03,order_refunded,1193
2021-03,received,561
2021-03,refund,103
2021-03,pending,24
2021-03,closed,4
2021-03,cod,2
2021-04,canceled,8268
2021-04,complete,5051
2021-04,received,3886
2021-04,order_refunded,1404
2021-04,refund,99
2021-04,cod,53
2021-04,closed,14
2021-04,paid,5
2021-05,complete,2634
2021-05,canceled,2018
2021-05,order_refunded,1082
2021-05,received,837
2021-05,refund,81
2021-05,cod,22
2021-05,closed,8
2021-05,paid,4
2021-06,received,3836
2021-06,canceled,3626
2021-06,order_refunded,1088
2021-06,complete,876
2021-06,refund,104
2021-06,cod,33
2021-06,paid,14
2021-06,closed,5
2021-06,pending,1
2021-06,processing,1
2021-07,received,1233
2021-07,canceled,855
2021-07,order_refunded,446
2021-07,refund,28
2021-07,cod,20
2021-07,paid,16
2021-07,complete,11
2021-07,closed,2
2021-08,received,654
2021-08,canceled,533
2021-08,order_refunded,271
2021-08,complete,11
2021-08,refund,7
2021-08,closed,3
2021-08,cod,2
2021-08,paid,2
2021-08,pending,1
2021-09,received,855
2021-09,canceled,657
2021-09,order_refunded,152
2021-09,cod,99
2021-09,paid,45
2021-09,refund,13
2021-09,payment_review,9
2021-09,complete,5
2021-09,processing,5
2021-09,pending,4
2021-09,holded,1
