stockCode,ym,avg_order_cnt,ATV
10002,2010-12,1.8750,7.8136666666666645
10002,2011-01,1.1053,13.8747619047619
10002,2011-02,1.1667,6.537142857142856
10002,2011-03,1.5000,3.0777777777777775
10002,2011-04,1.0000,26.775000000000002
10080,2011-02,1.0000,1.7
10120,2010-12,1.0000,0.84
10120,2011-02,1.0000,6.3
10120,2011-03,1.0000,1.5225
10120,2011-05,1.0000,0.315
10123C,2010-12,1.0000,0.65
10123C,2011-03,1.0000,1.3
10123G,2011-04,1.0000,0
10124A,2010-12,1.0000,1.68
10124A,2011-02,1.0000,1.26
10124A,2011-03,1.0000,1.05
10124G,2010-12,1.0000,2.1
10124G,2011-03,1.0000,1.68
10125,2010-12,1.3750,8.26
10125,2011-01,3.5000,3.916071428571431
10125,2011-03,1.1000,8.95090909090909
10125,2011-04,1.0000,11.616666666666665
10125,2011-05,1.0000,15.15833333333333
10133,2010-12,1.1538,5.684666666666668
10133,2011-01,4.2000,5.420952380952381
10133,2011-02,1.0000,5.785
10133,2011-03,1.0000,10.078571428571427
10133,2011-04,1.0000,21.793333333333333
10133,2011-05,1.0000,7.0125
10134,2011-04,1.0000,0
10135,2010-12,1.7222,9.00064516129032
10135,2011-01,2.6250,11.604285714285714
10135,2011-02,1.5000,24.69083333333333
10135,2011-03,1.0000,10.990000000000002
10135,2011-04,1.0000,7.5
10135,2011-05,1.0000,7.433333333333334
11001,2010-12,1.8333,12.583636363636362
11001,2011-01,1.0000,19.146666666666665
11001,2011-02,1.0000,29.97
11001,2011-03,1.2500,18.535999999999998
11001,2011-04,1.0000,15.209999999999999
11001,2011-05,1.0000,32.448
15030,2011-03,1.0000,0.725
15034,2010-12,1.8000,1.2522222222222221
15034,2011-01,3.0000,5.175000000000001
15034,2011-02,1.3333,4.18
15034,2011-03,1.0000,3.215
15034,2011-04,1.1000,5.420909090909091
15034,2011-05,1.2000,6.85388888888889
15036,2010-12,2.0909,5.918260869565217
15036,2011-01,2.4545,23.485925925925926
15036,2011-02,1.4286,52.87866666666667
15036,2011-03,1.7273,59.25052631578947
15036,2011-04,1.3226,37.25024390243902
15036,2011-05,1.5102,50.12054054054057
15039,2010-12,1.2500,3.886
15039,2011-01,2.0000,12.485
15039,2011-02,6.0000,2.9883333333333333
15039,2011-03,3.3333,4.5920000000000005
15039,2011-04,1.2500,4.909000000000001
15039,2011-05,1.4000,30.04214285714286
15044A,2010-12,1.0000,17.700000000000003
15044A,2011-01,1.0000,19.666666666666668
15044A,2011-02,1.0000,9.942000000000002
15044A,2011-03,1.1111,26.593
15044A,2011-04,1.1111,13.242
15044A,2011-05,1.2857,12.752777777777773
15044B,2010-12,1.0000,3.936666666666666
15044B,2011-01,1.0000,35.400000000000006
15044B,2011-02,1.6667,10.576
15044B,2011-03,1.2000,32.03
15044B,2011-04,1.2500,9.396000000000003
