YM,brand,product,category,pu,rev
2020-09,,4442,,1,19.68
2020-09,,5913,computers.components.hdd,1,49.57
2020-09,,215133,,1,19.88
2020-09,,215454,,1,9.81
2020-09,,223339,stationery.cartrige,1,173.08
2020-09,,246841,,1,58.44
2020-09,,276049,,1,17.19
2020-09,,286772,,1,8.7
2020-09,,287525,,14,168.29999999999995
2020-09,,287662,,1,11.32
2020-09,,291222,stationery.battery,1,17.58
2020-09,,295603,stationery.cartrige,1,354
2020-09,,301530,,1,12.06
2020-09,,303365,electronics.tablet,1,61.25
2020-09,,303771,,1,181.62
2020-09,,303777,,1,12.05
2020-09,,303814,,1,42.46
2020-09,,304927,,1,39.51
2020-09,,320845,,1,1.57
2020-09,,331558,computers.notebook,1,14.86
2020-09,,335781,,1,15.08
2020-09,,335923,,1,13.97
2020-09,,337891,electronics.telephone,1,34.6
2020-09,,337892,electronics.telephone,1,69.2
2020-09,,338823,computers.notebook,1,46.98
2020-09,,367287,stationery.cartrige,1,71.6
2020-09,,367307,stationery.cartrige,1,33.46
2020-09,,367542,stationery.cartrige,1,13.97
2020-09,,383081,,1,11.22
2020-09,,386039,appliances.environment.vacuum,1,160.12
2020-09,,407428,,1,384.90000000000003
2020-09,,408274,electronics.tablet,1,21.43
2020-09,,411314,electronics.tablet,1,1.57
2020-09,,448288,,1,122.86
2020-09,,455054,furniture.living_room.shelving,2,54.6
2020-09,,455097,furniture.living_room.shelving,1,12.51
2020-09,,564615,construction.tools.soldering,2,116.5
2020-09,,564832,,1,10.46
2020-09,,575364,electronics.telephone,1,12.56
2020-09,,575682,stationery.cartrige,1,138.96
2020-09,,575687,computers.peripherals.printer,1,15.65
2020-09,,578581,,1,1.57
2020-09,,586830,electronics.telephone,1,10.71
2020-09,,593909,electronics.telephone,1,21.11
2020-09,,594208,electronics.tablet,1,30.16
2020-09,,601595,appliances.kitchen.microwave,1,62.83
2020-09,,603457,,1,11.11
2020-09,,609705,,1,50.27
2020-09,,610012,,1,53.06
2020-09,,628094,computers.notebook,1,72.38
2020-09,,639284,computers.peripherals.printer,1,30.150000000000002
2020-09,,639288,computers.peripherals.printer,1,10.14
2020-09,,640606,computers.peripherals.printer,1,10.02
2020-09,,651072,computers.notebook,1,18.89
2020-09,,665345,,2,3.14
2020-09,,678354,computers.notebook,1,15.71
2020-09,,757623,stationery.cartrige,1,22.32
2020-09,,775400,,1,30.16
2020-09,,778066,,1,23.8
2020-09,,778110,,1,62.24
2020-09,,790529,stationery.cartrige,1,18.38
2020-09,,797226,electronics.audio.acoustic,1,106.19
2020-09,,819203,,1,92.05
2020-09,,835829,computers.components.cooler,1,16.19
2020-09,,839509,computers.components.cooler,1,28.26
2020-09,,847341,electronics.telephone,1,12.22
2020-09,,852409,computers.peripherals.printer,1,29.7
2020-09,,857304,,1,12.21
2020-09,,864880,computers.peripherals.monitor,1,55.08
2020-09,,888783,computers.components.hdd,2,166.04
2020-09,,941269,electronics.telephone,2,34.92
2020-09,,1007159,electronics.telephone,1,24.44
2020-09,,1017761,,1,22.48
2020-09,,1022123,electronics.telephone,1,31.59
2020-09,,1027541,electronics.telephone,1,57.78
2020-09,,1034353,electronics.telephone,2,85.23
2020-09,,1153334,electronics.audio.acoustic,1,34.92
2020-09,,1282383,electronics.telephone,1,20.48
2020-09,,1282394,electronics.telephone,1,20
2020-09,,1306642,,1,16.11
2020-09,,1341995,computers.peripherals.printer,3,60.4
2020-09,,1354500,,1,68.06
2020-09,,1400331,computers.peripherals.printer,2,20.26
2020-09,,1502502,,1,83.97
2020-09,,1505979,,3,245.08
2020-09,,1507197,,1,24.16
2020-09,,1521673,,1,19.52
2020-09,,1528922,construction.tools.screw,1,48.78000000000001
2020-09,,1660034,electronics.telephone,3,31.29
2020-09,,1674454,electronics.telephone,1,11.86
2020-09,,1703440,electronics.telephone,1,20.95
2020-09,,1703442,electronics.telephone,1,24.76
2020-09,,1703701,electronics.telephone,2,157.62
2020-09,,1715691,,2,26.04
2020-09,,1734677,construction.tools.light,1,33.9
2020-09,,1756713,electronics.telephone,1,20.95
2020-09,,1756758,electronics.telephone,1,59.04
2020-09,,1776988,,1,18.25
2020-09,,1785101,computers.peripherals.printer,1,10.84
2020-09,,1785102,computers.peripherals.printer,1,10.78
2020-09,,1785103,computers.peripherals.printer,1,10.78
2020-09,,1785104,computers.peripherals.printer,1,10.78
2020-09,,1813389,computers.peripherals.printer,1,17.89
2020-09,,1821768,computers.peripherals.printer,1,1.57
2020-09,,1821769,computers.peripherals.printer,1,3.14
2020-09,,1822007,computers.peripherals.joystick,1,20.16
2020-09,,1843522,,8,211.12000000000006
2020-09,,3536857,construction.tools.screw,1,23.96
2020-09,,3537321,electronics.telephone,1,43.5
2020-09,,3537322,electronics.telephone,2,82.86
2020-09,,3537391,electronics.telephone,1,32.38
2020-09,,3537392,electronics.telephone,2,101.91
2020-09,,3537394,electronics.telephone,1,38.73
2020-09,,3632668,electronics.telephone,2,103.32
2020-09,,3648168,electronics.telephone,1,32.38
2020-09,,3699036,computers.components.hdd,2,368.26
2020-09,,3759142,electronics.telephone,1,29.37
2020-09,,3759303,electronics.telephone,1,33.65
2020-09,,3791551,electronics.video.tv_remote,1,23.81
2020-09,,3828957,computers.peripherals.printer,1,10.59
2020-09,,3829355,electronics.telephone,5,193.32
2020-09,,3829365,electronics.telephone,2,100.32
2020-09,,3829374,electronics.telephone,1,21.43
2020-09,,3829475,electronics.telephone,1,173.32
2020-09,,3829493,electronics.telephone,1,65.08
2020-09,,4013079,electronics.telephone,1,11.27
2020-09,,4013255,electronics.telephone,1,22.54
