ym,category,pu_before,ret
2020-10,,4,0.4211
2020-10,accessories.bag,0,0.0000
2020-10,appliances.environment.air_heater,0,0.0000
2020-10,appliances.environment.vacuum,1,1.9608
2020-10,appliances.iron,0,0.0000
2020-10,appliances.kitchen.coffee_machine,0,0.0000
2020-10,appliances.kitchen.fryer,0,0.0000
2020-10,appliances.kitchen.grill,0,0.0000
2020-10,appliances.kitchen.kettle,1,10.0000
2020-10,appliances.kitchen.meat_grinder,0,0.0000
2020-10,appliances.kitchen.mixer,0,0.0000
2020-10,appliances.kitchen.toster,0,0.0000
2020-10,appliances.personal.hair_cutter,0,0.0000
2020-10,appliances.personal.massager,0,0.0000
2020-10,appliances.sewing_machine,1,7.6923
2020-10,appliances.steam_cleaner,0,0.0000
2020-10,auto.accessories.alarm,0,0.0000
2020-10,auto.accessories.compressor,0,0.0000
2020-10,auto.accessories.gps,1,12.5000
2020-10,auto.accessories.parktronic,0,0.0000
2020-10,auto.accessories.player,0,0.0000
2020-10,auto.accessories.radar,0,0.0000
2020-10,auto.accessories.videoregister,0,0.0000
2020-10,computers.components.cdrw,0,0.0000
2020-10,computers.components.cooler,0,0.0000
2020-10,computers.components.cpu,2,1.3333
2020-10,computers.components.hdd,1,1.5625
2020-10,computers.components.motherboard,3,2.2388
2020-10,computers.components.network_adapter,0,0.0000
2020-10,computers.components.power_supply,0,0.0000
2020-10,computers.components.sound_card,0,0.0000
2020-10,computers.components.tv_tuner,0,0.0000
2020-10,computers.components.videocards,1,0.6061
2020-10,computers.desktop,0,0.0000
2020-10,computers.ebooks,1,2.8571
2020-10,computers.network.router,0,0.0000
2020-10,computers.notebook,0,0.0000
2020-10,computers.peripherals.camera,0,0.0000
2020-10,computers.peripherals.joystick,0,0.0000
2020-10,computers.peripherals.keyboard,0,0.0000
2020-10,computers.peripherals.monitor,0,0.0000
2020-10,computers.peripherals.mouse,0,0.0000
2020-10,computers.peripherals.printer,2,0.5988
2020-10,computers.peripherals.scanner,0,0.0000
2020-10,computers.peripherals.vr,0,0.0000
2020-10,computers.peripherals.wifi,0,0.0000
2020-10,construction.tools.drill,0,0.0000
2020-10,construction.tools.light,0,0.0000
2020-10,construction.tools.painting,0,0.0000
2020-10,construction.tools.saw,0,0.0000
2020-10,construction.tools.screw,0,0.0000
2020-10,construction.tools.soldering,0,0.0000
2020-10,construction.tools.welding,0,0.0000
2020-10,construction.tools.wrench,0,0.0000
2020-10,country_yard.cultivator,0,0.0000
2020-10,country_yard.weather_station,0,0.0000
2020-10,electronics.audio.acoustic,1,1.0638
2020-10,electronics.audio.dictaphone,0,0.0000
2020-10,electronics.audio.headphone,0,0.0000
2020-10,electronics.audio.microphone,0,0.0000
2020-10,electronics.camera.photo,0,0.0000
2020-10,electronics.camera.video,0,0.0000
2020-10,electronics.clocks,0,0.0000
2020-10,electronics.tablet,1,0.9091
2020-10,electronics.telephone,2,0.4008
2020-10,electronics.video.projector,0,0.0000
2020-10,electronics.video.tv,1,3.4483
2020-10,electronics.video.tv_remote,0,0.0000
2020-10,furniture.living_room.shelving,0,0.0000
2020-10,kids.toys,0,0.0000
2020-10,medicine.tools.tonometer,0,0.0000
2020-10,stationery.battery,0,0.0000
