ym,category,retention
2020-10,,0.4211
2020-10,appliances.environment.vacuum,1.9608
2020-10,appliances.kitchen.kettle,10.0000
2020-10,appliances.sewing_machine,7.6923
2020-10,auto.accessories.gps,12.5000
2020-10,computers.components.cpu,1.3333
2020-10,computers.components.hdd,1.5625
2020-10,computers.components.motherboard,2.2388
2020-10,computers.components.videocards,0.6061
2020-10,computers.ebooks,2.8571
2020-10,computers.peripherals.printer,0.5988
2020-10,electronics.audio.acoustic,1.0638
2020-10,electronics.tablet,0.9091
2020-10,electronics.telephone,0.4008
2020-10,electronics.video.tv,3.4483
2020-10,stationery.cartrige,0.2817
2020-10,stationery.stapler,11.1111
2020-11,,0.8755
2020-11,appliances.personal.hair_cutter,25.0000
2020-11,appliances.sewing_machine,4.5455
2020-11,appliances.steam_cleaner,11.1111
2020-11,auto.accessories.player,1.1628
2020-11,computers.components.cpu,3.9106
2020-11,computers.components.motherboard,2.4540
2020-11,computers.components.power_supply,2.0000
2020-11,computers.components.videocards,2.3739
2020-11,computers.desktop,3.0303
2020-11,computers.notebook,0.5236
2020-11,computers.peripherals.camera,0.8403
2020-11,computers.peripherals.joystick,3.1250
2020-11,computers.peripherals.monitor,3.7037
2020-11,computers.peripherals.printer,2.7990
2020-11,computers.peripherals.wifi,1.5152
2020-11,construction.tools.drill,2.3256
2020-11,electronics.audio.acoustic,0.9346
2020-11,electronics.tablet,2.4390
2020-11,electronics.telephone,2.3050
2020-11,stationery.cartrige,1.3624
2020-11,stationery.stapler,50.0000
2020-12,,1.7766
2020-12,appliances.kitchen.grill,25.0000
2020-12,appliances.kitchen.kettle,50.0000
2020-12,computers.components.cpu,6.3830
2020-12,computers.components.motherboard,1.7544
2020-12,computers.components.videocards,3.8251
2020-12,computers.desktop,7.6923
2020-12,computers.notebook,1.4493
2020-12,computers.peripherals.camera,3.2258
2020-12,computers.peripherals.joystick,7.1429
2020-12,computers.peripherals.monitor,25.0000
2020-12,computers.peripherals.mouse,33.3333
2020-12,computers.peripherals.printer,4.1667
2020-12,computers.peripherals.wifi,6.2500
2020-12,construction.tools.light,9.0909
2020-12,construction.tools.saw,12.5000
2020-12,electronics.audio.acoustic,3.7736
2020-12,electronics.telephone,3.2653
2020-12,electronics.video.projector,14.2857
2020-12,electronics.video.tv_remote,20.0000
2020-12,stationery.cartrige,3.5461
