restaurant,cuisines,city,longitude,latitude,price,"aggregate rating"
"Le Petit Souffle","French, Japanese, Desserts","Makati City",121.027535,14.565443,90.200,4.8
"Izakaya Kikufuji",Japanese,"Makati City",121.014101,14.553708,98.400,4.5
"Heat - Edsa Shangri-La","Seafood, Asian, Filipino, Indian","Mandaluyong City",121.056831,14.581404,328.000,4.4
Ooma,"Japanese, Sushi","Mandaluyong City",121.056475,14.585318,123.000,4.9
"Sambo Kojin","Japanese, Korean","Mandaluyong City",121.057508,14.58445,123.000,4.8
"Din Tai Fung",Chinese,"Mandaluyong City",121.056314,14.583764,82.000,4.4
"Buffet 101","Asian, European","Pasay City",120.9796667,14.53133333,164.000,4
Vikings,"Seafood, Filipino, Asian, European","Pasay City",120.9793333,14.54,164.000,4.2
"Spiral - Sofitel Philippine Plaza Manila","European, Asian, Indian","Pasay City",120.98009,14.55299,492.000,4.9
Locavore,Filipino,"Pasig City",121.056532,14.572041,90.200,4.8
"Silantro Fil-Mex","Filipino, Mexican","Pasig City",121.057916,14.567689,65.600,4.9
"Mad Mark's Creamery & Good Eats","American, Ice Cream, Desserts","Pasig City",121.06082,14.570849,73.800,4.2
"Silantro Fil-Mex","Filipino, Mexican","Quezon City",121.075419,14.649503,65.600,4.8
Guevarra's,Filipino,"San Juan City",121.0335917,14.59345,82.000,4.2
"Sodam Korean Restaurant",Korean,"San Juan City",121.03811,14.59889,57.400,4.3
"Cafe Arabelle","Cafe, American, Italian, Filipino","Santa Rosa",121.05704,14.237082,65.600,3.6
"Nonna's Pasta & Pizzeria","Italian, Pizza","Santa Rosa",121.0565874,14.23767897,69.700,4
"Balay Dako",Filipino,"Tagaytay City",120.951589,14.101834,98.400,4.5
"Hobing Korean Dessert Cafe","Cafe, Korean, Desserts","Taguig City",121.045878,14.55436,49.200,4.5
"Wildflour Cafe + Bakery","Cafe, Bakery, American, Italian","Taguig City",121.04622,14.549337,123.000,4.4
"NIU by Vikings","Seafood, American, Mediterranean, Japanese","Taguig City",121.053725,14.545858,246.000,4.7
