"restaurant name","country code",city,long,lat,cuisines,booking,online_delivery,delivery,price,rating
"Le Petit Souffle",162,"Makati City",121.027535,14.565443,"French, Japanese, Desserts",Yes,No,No,90.200,4.8
"Izakaya Kikufuji",162,"Makati City",121.014101,14.553708,Japanese,Yes,No,No,98.400,4.5
"Heat - Edsa Shangri-La",162,"Mandaluyong City",121.056831,14.581404,"Seafood, Asian, Filipino, Indian",Yes,No,No,328.000,4.4
Ooma,162,"Mandaluyong City",121.056475,14.585318,"Japanese, Sushi",No,No,No,123.000,4.9
"Sambo Kojin",162,"Mandaluyong City",121.057508,14.58445,"Japanese, Korean",Yes,No,No,123.000,4.8
"Din Tai Fung",162,"Mandaluyong City",121.056314,14.583764,Chinese,No,No,No,82.000,4.4
"Buffet 101",162,"Pasay City",120.9796667,14.53133333,"Asian, European",Yes,No,No,164.000,4
Vikings,162,"Pasay City",120.9793333,14.54,"Seafood, Filipino, Asian, European",Yes,No,No,164.000,4.2
"Spiral - Sofitel Philippine Plaza Manila",162,"Pasay City",120.98009,14.55299,"European, Asian, Indian",Yes,No,No,492.000,4.9
Locavore,162,"Pasig City",121.056532,14.572041,Filipino,Yes,No,No,90.200,4.8
"Silantro Fil-Mex",162,"Pasig City",121.057916,14.567689,"Filipino, Mexican",No,No,No,65.600,4.9
"Mad Mark's Creamery & Good Eats",162,"Pasig City",121.06082,14.570849,"American, Ice Cream, Desserts",Yes,No,No,73.800,4.2
"Silantro Fil-Mex",162,"Quezon City",121.075419,14.649503,"Filipino, Mexican",No,No,No,65.600,4.8
Guevarra's,162,"San Juan City",121.0335917,14.59345,Filipino,Yes,No,No,82.000,4.2
"Sodam Korean Restaurant",162,"San Juan City",121.03811,14.59889,Korean,No,No,No,57.400,4.3
"Cafe Arabelle",162,"Santa Rosa",121.05704,14.237082,"Cafe, American, Italian, Filipino",No,No,No,65.600,3.6
